,text,sentiment,labels
260,i wanna be grand staff,positive,1
261,i wanna be ride united airline! i love airplane,positive,1
262,you're my early frontrunner for best airline!,positive,1
263,worked like a charm. bag was waiting on the carousel when we got to baggage claim.,positive,1
264,will do. thanks for the help. cheers,positive,1
265,i have 8 flights with you in the next two weeks :) let's make some good memories!,positive,1
266,he is so excellent and so reliable :),positive,1
267,it was delivered! thank you for making sure it arrived at my doorstep!,positive,1
268,“ looking for a reason to travel?,positive,1
269,thank you!,positive,1
270,i was sincerely thanking the pilot of flight 4461 of braving the snow and getting me home amongst many other cancelled flightlations.,positive,1
271,thanks! lol!  will wait for us. per  same tail number as  :),positive,1
272,bummer but thank you for the quick response,positive,1
273,"they let us know in advance of the reboot, yes :) thanks for the attentiveness!",positive,1
274,wanted to compliment ur phone agent jeanette for reflight booking problems rdu to sea thru sfo after connecting flight thru ewr was cancelled flightled.,positive,1
275,social media team is on point on  :),positive,1
276,thank you for following up!,positive,1
277,claudia in iah terminal b travel assistance has me all set. great service. thank you.,positive,1
278,denver baggage handlers you totally impressed us today. our lungs barely made the run to connect but our bags had no problem!,positive,1
279,"thanks, it was my first time in a united lounge and felt welcomed.",positive,1
280,can cancelled flight my flight anytime if this is where they keep me for the night..,positive,1
281,thanks for updating me about the 1+ hour delay the exact second i got to atl. 🙅🙅🙅,positive,1
282,resolved. over hour of work on  ground & somehow the system reset itself during takeoff. i appreciate the quick response/service.,positive,1
283,and to add to my earlier tweet. this was my daughters 5th bday present. thank you for the hard work and making it happen.,positive,1
284,you have a guy named otis at ord that knows what  is. he was able to get my bag to me. i upgraded just to be sure,positive,1
285,"you all do a wonderful job today. got my wife, daughter, and myself from pgh to orlando after out flight was delayed luggage and all",positive,1
286,nope. even better there were 4 seats. and due to w&b first to raise hands got to move up. i wasn't fast enough.,positive,1
287,look at this beauty 😉 dc-10 united airlines 😉 hope you like this beauty 😉,positive,1
288,it was such a lovely part of this long day - attendants on ua5168 (most) /ua795 were beyond exceptional today.,positive,1
289,i trust you enough to put my coat in my checked bag!,positive,1
290,"finally made it to rep, who solved my problem.",positive,1
291,thanks gate agent extraordinaire seau fong for helping me get re-booked out of boise and (hopefully) home to nyc sometime tonight!,positive,1
292,thank y'all for being an amazing airline who knows how to treat their customers. you guys rock!,positive,1
293,went to customer service kiosk and they were able to help out! still thanks for following up!,positive,1
294,nope all set. thx for checking.,positive,1
295,"on 2/20 denver ap, gate b91 (destination santa fe), agent ashley did an amazing job in the face of an angry traveler. kudos.",positive,1
296,i should be fine. they automatically changed my connecting flight for me so i wouldn't miss it. a+ work.,positive,1
297,"thx off the response, finally got through the 45 min wait and talked to someone.",positive,1
298,"thx, just dm'd. conf  mqxc64 & mpwnc2. any help appreciated",positive,1
299,this is why i fly  ... never have any issues,positive,1
300,great flight into pvd. smallest plane i have ever been on and smoothest landing ever!,positive,1
301,"thanks so much , my passport was recovered",positive,1
302,thanks. just got on a couple of minutes ago. great service on flight 479 btw. please pass it to the team on that flight.,positive,1
303,your agents (and service) on my weekend trip have been amazing!!! thank you!!,positive,1
304,will do. just need to get cvg.... and my bag too. thanks,positive,1
305,"we got it, thanks.",positive,1
306,"this is probably the least dependable airline in the western hemisphere.  does not belong in star alliance, but skyteam",positive,1
307,amazing hospitality and helpfulness from anthony lastella. great staff 👏👏👏✈️ def flying  again.,positive,1
308,"just touched down in miami - not too far off , nicely done united 👍",positive,1
309,"it was very comfortable, now waiting for our luggage",positive,1
310,thank you,positive,1
311,finally got through and they were very helpful. appreciate it!,positive,1
312,thanks for the effort. i can get the earliest. though i will make a complaint for a refund as i am losing one business day tomorrow,positive,1
313,thank you!,positive,1
314,worked out after all. thanks for your immediate reply!!,positive,1
315,"nicole at quito airport took great care of us this week. handled lost baggage, seat changes. very professional/nice. pat her back.",positive,1
316,thanks for leaving our 3 year old in his own row flight 360 lax-iad,positive,1
317,thank you,positive,1
318,very quick! ty.   i am sorry to hear this. can you please follow and dm me the details of what transpired? ^jh,positive,1
319,just did! thank you!,positive,1
320,thank you!,positive,1
321,i am - thank you!,positive,1
322,thank you for flying me out of the mess at iad and out to san diego.,positive,1
323,"thank you but the person in houston could only get me a flight routing through newark, nj and i'm going to sfo",positive,1
324,my bag reference id number is ind43728m. thanks for looking at it.,positive,1
325,one lady helping the 12 of us with luggage,positive,1
326,met with agent. all taken care of. thx for reply,positive,1
327,i still like you united airlines,positive,1
328,thanks for the epic service on 863- always a pleasure- outstanding crew,positive,1
329,life goal: complete ✔️,positive,1
330,just sent a dm. thank you for the acknowledgment.,positive,1
331,thank you! much appreciation for your help.,positive,1
332,such a relaxing space for a drink before my flight! (at  global first lounge),positive,1
333,what a really great & flattering story about you! you should be very proud :)  (via,positive,1
334,so is that two seats avail so far for us.,positive,1
335,732 from denver. we just boarded! fingers crossed we get into the air!!!,positive,1
336,thanks for the upgrade- please try to get my company to approve more business class travel.,positive,1
337,hubby made it by the skin of his teeth!   :),positive,1
338,thank you! excited to be working with you guys!,positive,1
339,tonight you made this fred flintstone happy with an upgrade to 1st class.,positive,1
340,that's great! pls let me know when u start!,positive,1
341,thanks ... not sure arranged move to the earlier flight but i'm at the gate with a seat assignment.  super nice agent at gate c4 ord,positive,1
342,i see. thanks for explaining.,positive,1
343,"after an hour+ wait, my issue is resolved. i did contact customer service to comment on the wait time. thanks for contacting me.",positive,1
344,"yes, they did. must have fixed the broken ramp. thanks!",positive,1
345,thanks,positive,1
346,kurt and the crew on ua1745 were amazing today. they made my son's birthday with their kindness. hope to fly with them again soon!,positive,1
347,"as a million miler with ua, and flying almost every week i observe gate and flight crews committed to good operations",positive,1
348,"thanks, we did.",positive,1
349,thank you for compensating us for our 4 lost bags. we will fly with you again!,positive,1
350,i just asked my boyfriend to prom over the loudspeaker on flight 494 he said yes!!!! best day ever!!! thank u so much!!!!!!,positive,1
351,so appreciated!,positive,1
352,hmmm...seems like this could be something to be changed to be more,positive,1
353,no problem just follow me back so i can! thank you!,positive,1
354,this flight has been amazing. this is the best flight i have ever been on i am not kidding. service is incredible!,positive,1
355,the upgrade to first class was a nice way to fix your earlier mistake. thank you!,positive,1
356,rhonda c. at atlanta airport redeemed you guys. she got us straightened out.,positive,1
357,"hi there, looks like my connection is delayed too so i'll make it. thanks!",positive,1
358,cldnt be happier w the many plastic wing pins given to me on flight 494. i love them! amazing staff! so nice,positive,1
359,thanks for the reply.  if you can get me a better seat on my next leg to munich. that would be nice.,positive,1
360,thank you for taking care of my mom and reflight booking problems her flight in phl.,positive,1
361,"ill check it out, appreciate the response, regardless.",positive,1
362,1632 was phenomenal frm gate (sea) to gate (iad),positive,1
363,. thanks. hopefully this is easily resolved.,positive,1
364,i will. thanks.,positive,1
365,they finally gave in a let him on. after they threatened to send him back to vegas on coach. thnx.,positive,1
366,"gave me a smile today, with a zero award... ;-) computers have some sense of humour :-)",positive,1
367,"all flights cancelled flighted :( trip refunded without difficulty, staff extremely helpful, no complaints! way to handle bad weather!",positive,1
368,thank you for the help!!,positive,1
369,you're good. thank you!,positive,1
370,"wasn't frustrating! well, not in any way relate flightd to y'all, anyway. impressed that i made it.",positive,1
371,"oh, the wi-fi router is on top of the fuselage! ;)",positive,1
372,very impressed so far. an app that's worth a damn and sms updates on my flight.,positive,1
373,"thank you.
it's my daughters 13th bd party w/proj. weather cond, it doesn't look promising.
please assist with earlier flts to cmh?",positive,1
374,will the kudos to capt. herman be relayed to his chief pilot or should i be emailing someone?,positive,1
375,good job at cle .. tpa on schedule ... 4 to 5 inches of snow !,positive,1
376,is  friendly.,positive,1
377,provide a voucher for one of my customers and i will tweet about you all day long,positive,1
378,stellar customer service. you have earned my business by your attention to detail.,positive,1
379,service by staff was great as usual. cleanliness and smells a bit much. i'll be back.  traveler,positive,1
380,hey  you've upgraded me on a 10 hour international flight. i forgive you :-) thank you!,positive,1
381,yes to more food! add some gluten free options while you're at it,positive,1
382,thank you for a great flight in gfc :) cheers,positive,1
383,they held the plane! made it!!,positive,1
384,"ok, have sent u info via dm. i appreciate your help and consideration. 😊",positive,1
385,nice and early back home!,positive,1
386,i hope so too :),positive,1
387,i'll make sure he's done that. thanks for the help. this is a huge race for him and just trying to make sure it goes smoothly. peace,positive,1
388,will you fill it? yes they will. thanks!,positive,1
389,. this flight attendant was extremely helpful to a woman who had a hard time walking. very touching!,positive,1
390,dm sent.  thanks.,positive,1
391,"brian at sfo customer service deserves a raise, gave me extra meal voucher and a good joke to cheer me up after flight delay.",positive,1
392,thank you! have a nice evening.,positive,1
393,no thanks.  took care of it when i called,positive,1
394,awesome thank you very much for the help,positive,1
395,kept me watching the safety video for the first time in forever. nice job 👍.,positive,1
396,thanks to lea in the chicago office for her help in switching our cancelled flighted flights!!,positive,1
397,thank you so much for your help with my birthday trip! tickets are confirmed! :-),positive,1
398,thank you.,positive,1
399,"great landing in denver, next rapid city. snow starting to fall...florida everglades is a faint sunburn away...here comes the cold!",positive,1
400,looking forward to flying with you guys as well !!,positive,1
401,bag was finally delivered and intact. thanks for your assistance.,positive,1
402,you guys made my day. treated me well. thank you!!!,positive,1
403,"don't know her last name, but karen at your call center is terrific.  friendly, helpful.  terrific representative. kudos.",positive,1
404,"thank you! good service, safe flight... 1/2 way home!",positive,1
405,"both flights went great and improved my view of your airline, cheers! flight attendents on ua1022 deserve a raise",positive,1
406,"i may not hit any new status this year, but i’ve flown several times this year and have tried to book with y’all every time!",positive,1
407,i just received notification of in-flight wi-fi for ua863 from  to  amazing!,positive,1
408,give her the recognition she deserves!,positive,1
409,she's the type of person that can make a customers day! i fly 100+ times a year & she's one of the top flight attendants i've had!,positive,1
410,you suck.  you're the best.,positive,1
411,thank you,positive,1
412,thank you for the reply.  i will fill out the form and submit it as requested.  good to know you're paying attention!,positive,1
413,gate agent alavera is amazing,positive,1
414,wins top marks for customer service via twitter. they turned a poor experience into a positive. many thanks for the effort! 👍,positive,1
415,"flight experiences r often frustrating, but 2day on ua5184 from chi to wpg flight attendant april was  she's 1 of the best!",positive,1
416,free booze for the bach party would make it better!  ord--&gt;msy     we will enjoy either way.  thanks!,positive,1
417,all good man it isn't your fault that plane is having maintenance issues,positive,1
418,“  your puppy is so cute. we look forward to having both of you on board. thanks for the high five. ^ey” 👏👏,positive,1
419,when are you coming back to  you have a huge east bay customer base due to sfo and *i* miss you!,positive,1
420,: thanks! i will catch my conection! :),positive,1
421,thank you. any help is appreciated.,positive,1
422,thanks for moving my dad on to my my mom's flight. you helped make his birthday start with  awesomeness! 4 paws up!,positive,1
423,“  we will follow up with our maintenance team. thanks for the tweet. ^kp” thank you!  united cares!,positive,1
424,thank you.. appreciate the response,positive,1
425,thank you thank you thank you for contacting me. thank you for the offer of a $1000 travel certificate,positive,1
426,sent a dm just now. thanks i am incredibly happy the fast response i got via twitter than via customer care. thank you,positive,1
427,perfect! that works! thank you!,positive,1
428,mechanical issue. looks like they got it fixed! thanks for your concern.,positive,1
429,thanks,positive,1
430,on the plane but thanks! maybe don't let so many people check in by themselves - teeming with morons.,positive,1
431,looks like they came through. thanks again for the help.,positive,1
432,since when did you get so good again!  4 transcontinental flights in 72h.  what a pleasure/relief you were.,positive,1
433,thanks!,positive,1
434,thanks for prompt response.  another hour to enjoy vacation! perhaps a bug in the app as it still shows 2:55.,positive,1
435,appreciate the sentiment and you were able to get me off the ground;still missed connection,positive,1
436,thank you  for your prompt assistance.,positive,1
437,thanks for more timely updates.,positive,1
438,baggage check in and in flight crew the friendliest ever flight ogg to lax !!!,positive,1
439,thank you for your offer! all sorted out :-),positive,1
440,i think this is the best first class i have ever gotten!!  denver to lax and it's wonderful!!!,positive,1
441,of course not. the inflight crew was great!,positive,1
442,"well played, ^lo.",positive,1
443,the pilot of ua475 just landed this plane like he was gently placing us into a pile of whipped cream. smoothest landing ever.,positive,1
